L,cov1,cov2
517,[ 9.68179612e-08 -1.19853041e-16],[-1.19853041e-16  2.88515725e-16]
518,[9.61728806e-08 1.85852101e-15],[1.85852101e-15 2.88348533e-16]
519,[9.77604335e-08 8.74025136e-16],[8.74025136e-16 2.85518414e-16]
520,[9.63572463e-08 9.23444283e-16],[9.23444283e-16 2.97423178e-16]
521,[9.89732548e-08 9.67868987e-17],[9.67868987e-17 2.66206651e-16]
522,[9.67388248e-08 1.11743760e-15],[1.11743760e-15 2.79955997e-16]
523,[ 9.24136209e-08 -3.32567277e-16],[-3.32567277e-16  2.60315415e-16]
524,[9.13664609e-08 2.06847131e-15],[2.06847131e-15 2.58913705e-16]
525,[ 9.84037075e-08 -4.42804781e-16],[-4.42804781e-16  3.01984917e-16]
526,[9.53647170e-08 4.55313676e-16],[4.55313676e-16 2.77539582e-16]
527,[9.70472267e-08 9.55500195e-17],[9.55500195e-17 2.93779621e-16]
528,[8.92784825e-08 1.00437501e-15],[1.00437501e-15 2.48416884e-16]
529,[ 8.94880997e-08 -5.22449672e-16],[-5.22449672e-16  2.51773091e-16]
530,[8.63155137e-08 2.48757829e-15],[2.48757829e-15 2.57223895e-16]
531,[9.29721693e-08 8.53712828e-16],[8.53712828e-16 2.74318288e-16]
532,[9.30963227e-08 2.95062286e-15],[2.95062286e-15 2.74784231e-16]
533,[9.54860870e-08 8.97427705e-16],[8.97427705e-16 2.59567526e-16]
534,[9.22842448e-08 1.30181182e-15],[1.30181182e-15 2.66568689e-16]
535,[9.28592636e-08 1.11630657e-15],[1.11630657e-15 2.70244584e-16]
536,[8.84197173e-08 1.05972271e-15],[1.05972271e-15 2.68374927e-16]
537,[ 9.03030509e-08 -2.89579966e-16],[-2.89579966e-16  2.58326599e-16]
538,[8.45098059e-08 4.92391890e-16],[4.92391890e-16 2.43590438e-16]
539,[9.03560517e-08 3.49296768e-15],[3.49296768e-15 2.68797321e-16]
540,[ 9.26426557e-08 -7.90794365e-17],[-7.90794365e-17  2.55514919e-16]
541,[9.46844382e-08 1.33073149e-15],[1.33073149e-15 2.72589626e-16]
542,[9.0062177e-08 1.7106200e-15],[1.71062000e-15 2.46064099e-16]
543,[8.30098807e-08 6.77203528e-16],[6.77203528e-16 2.13595953e-16]
544,[9.20804972e-08 1.89607339e-15],[1.89607339e-15 2.61657250e-16]
545,[8.91235062e-08 1.02906710e-15],[1.02906710e-15 2.42965786e-16]
546,[9.19328632e-08 1.41623143e-15],[1.41623143e-15 2.61237833e-16]
547,[9.53431869e-08 1.32351431e-15],[1.32351431e-15 2.59282742e-16]
548,[8.32785538e-08 3.70439410e-16],[3.70439410e-16 2.22067683e-16]
